Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID
gunshot1,published,managed_by_android,false,en_US; Light Magic Help; Magically removes bunch of candies for you!; fr_FR; Aide magique légère; Enlève magiquement un tas de bonbons pour toi!; ru_RU; Небольшая Магическая помощь; Удаляет кучу сладостей на поле для вас!; de_DE; Leichte Magie Hilfe; Entfernt zauberhaft Bonbons für dich!; es_ES; Ayuda Magia Ligera; Mágicamente quita un montón de caramelos para ti!; pt_PT; Ajuda da Magia Leve; Mágicamente remove bando de doces para você!; it_IT; Aiuto di luce magica; Rimuove magicamente un sacco di caramelle per te!; nl_NL; Light Magic Help; Magisch verwijdert pakjes snoep voor jou!; ar; مساعدة الضوء السحري; يزيل سحرية حفنة من الحلوى لك!; ja_JP; ライトマジックヘルプ; 魔法のようにあなたのためのキャンデーの束を削除します！; ko_KR; 라이트 매직 도움말; 마술처럼 사탕을 당신을 위해 제거합니다!; tr_TR; Hafif Magic Yardımı; Sizin için sihirli şekerler demetini kaldırır!; zh_CN; 光魔术帮助; 神奇地为你删除一堆糖果！; pt_BR; Ajuda da Magia Leve; Mágicamente remove bando de doces para você!; es_419; Ayuda Magia Ligera; Mágicamente quita un montón de caramelos para ti!,false,,4638237991080918605
addmoves5,published,managed_by_android,false,en_US;Add 15 moves;15 moves and 2 free rainbow cakes!,false,,4637491540244814114
colorpack10,published,managed_by_android,false,en_US;5x Rainbow Rocket Pack;5x Rainbow Rockets with amazing discount!,false,,4636787157003098572
gunshot,published,managed_by_android,false,en_US;Magic Help;Magically removes bunch of candies for you!,false,,4636787157003098572
1800goldplus,published,managed_by_android,false,"en_US; 1,800 gold and boosters!; Pile of gold - 1,800 gold and bonus boosters!; fr_FR; 1 800 pièces d'or et boosters!; Tas d'or - 1 800 pièces d'or et bonus boosters!; ru_RU; 1800 золотых монет и бустеры!; Груда золота - 1800 золотых и бонусные бустеры!; de_DE; 1.800 Gold und Booster!; Haufen Gold - 1.800 Gold und Bonus-Booster!; es_ES; 1,800 de oro y refuerzos!; ¡Pila de oro - 1,800 oro y refuerzos de bonificación!; pt_PT; 1.800 de ouro e boosters!; Pilha de ouro - 1.800 gold e bonus boosters!; it_IT; 1.800 oro e booster!; Mucchio d'oro - oro 1800 e buste bonus!; nl_NL; 1800 goud en boosters!; Stapel goud - 1.800 goud en bonusboosters!; ar; 1800 الذهب والمعززات!; كومة من الذهب - 1800 الذهب والمعززات مكافأة!; ja_JP; 1,800ゴールドとブースター！; 金の山 -  1,800ゴールドとボーナスブースター！; ko_KR; 1,800 골드와 부스터!; 골드 더미 - 1,800 골드와 보너스 부스터!; tr_TR; 1.800 altın ve güçlendiriciler!; Altın yığını - 1.800 altın ve bonus güçlendiriciler!; zh_CN; 1,800金币和助推器！; 一堆金 -  1,800金和奖金助推器！; pt_BR; 1.800 de ouro e boosters!; Pilha de ouro - 1.800 gold e bonus boosters!; es_419; 1,800 de oro y refuerzos!; ¡Pila de oro - 1,800 oro y refuerzos de bonificación!",false,,4637211488907699073
exp1,published,managed_by_android,false,en_US;25 lollipops;25 lollipops with amazing discount!,false,,4634554124695493487
gunshot5,published,managed_by_android,false,en_US; Magic Help pack of 3; Magically removes bunch of candies for you!; fr_FR; Aide magique pack de 3; Enlève magiquement un tas de bonbons pour toi!; ru_RU; Набор Магической помощи х3; Волшебно удаляет кучу конфет на поле для вас!; de_DE; Magisches Hilfspaket von 3; Entfernt zauberhaft Bonbons für dich!; es_ES; Paquete de ayuda mágica de 3; Mágicamente quita un montón de caramelos para ti!; pt_PT; Pacote de Ajuda Mágica de 3; Mágicamente remove bando de doces para você!; it_IT; Magic Help pack di 3; Rimuove magicamente un sacco di caramelle per te!; nl_NL; Magic Help-pakket van 3; Magisch verwijdert pakjes snoep voor jou!; ar; ماجيك مساعدة حزمة من 3; يزيل سحرية حفنة من الحلوى لك!; ja_JP; マジックヘルプパック3; 魔法のようにあなたのためのキャンデーの束を削除します！; ko_KR; Magic 도움말 팩 3; 마술처럼 사탕을 당신을 위해 제거합니다!; tr_TR; 3 Magic Yardım Paketi; Sizin için sihirli şekerler demetini kaldırır!; zh_CN; 魔术帮助包3; 神奇地为你删除一堆糖果！; pt_BR; Pacote de Ajuda Mágica de 3; Mágicamente remove bando de doces para você!; es_419; Paquete de ayuda mágica de 3; Mágicamente quita un montón de caramelos para ti!,false,,4637491540244814114
addmoves3,published,managed_by_android,false,en_US;Add 15 moves;15 moves and free rainbow cake!,false,,4638193806219219763
lives3,published,managed_by_android,false,en_US;100x Lives;100x Lives with amazing discount!,false,,4638193806219219763
starterpack0,published,managed_by_android,false,en_US;Starter pack;Must-Have pack for the beginner!,false,,4638237991080918605
1800gold,published,managed_by_android,false,"en_US;Pile of Gold;Pile of Gold - 1,800 gold!",false,,4637211488907699073
unlimitedlives2,published,managed_by_android,false,en_US;3 Days of Unlimited Lives;Unlimited Lives for 5 days!,false,,4636787157003098572
colorpack4,published,managed_by_android,false,en_US;10x Rainbow Rocket Pack;10x Rainbow Rockets with amazing discount!,false,,4636354206325628549
buyexp10,published,managed_by_android,false,en_US;10 lollipops;Small lollipops pack - 10 lollipops,false,,4637211488907699073
starterpack2,published,managed_by_android,false,en_US;Mega pack;Great deal for the great player!,false,,4634399711617211198
tastypack,published,managed_by_android,false,en_US;Pro Pack;Incredible mix of coins and various boosters!,false,,4634319851095926588
christmaspack,published,managed_by_android,false,en_US; Christmas Pack; Best Christmas gifts for you and your friends!; nl_NL; Kerstpakket; Beste kerstcadeaus voor jou en je vrienden!; fr_FR; Pack de Noël; Meilleurs cadeaux de Noël pour vous et vos amis!; de_DE; Weihnachtspackung; Beste Weihnachtsgeschenke für Sie und Ihre Freunde!; it_IT; Pacchetto di Natale; I migliori regali di Natale per te e i tuoi amici!; pt_PT; Pacote de Natal; Melhores presentes de Natal para você e seus amigos!; es_ES; Paquete de navidad; ¡Los mejores regalos de Navidad para ti y tus amigos!,false,SG; 6700000; DZ; 575000000; AU; 4990000; AT; 4990000; BH; 4990000; BD; 420000000; BE; 4990000; BO; 34990000; BR; 15990000; BG; 9790000; KH; 4990000; CA; 4990000; CL; 3100000000; CO; 14500000000; CR; 2900000000; HR; 39000000; CY; 4990000; CZ; 129990000; DK; 39000000; EG; 88990000; EE; 4990000; FI; 4990000; FR; 4990000; DE; 4990000; GH; 25000000; GR; 4990000; HK; 39900000; HU; 1599000000; IN; 320000000; ID; 68000000000; IE; 4990000; IL; 17000000; IT; 4990000; JP; 580000000; KZ; 1690000000; KE; 500000000; KW; 4990000; LV; 4990000; LB; 7750000000; LI; 4900000; LT; 4990000; LU; 4890000; MO; 40880000; MY; 19990000; MX; 99000000; MA; 46990000; NL; 4990000; NZ; 4990000; NG; 1820000000; NO; 49000000; OM; 4990000; PK; 550000000; PE; 15990000; PH; 250000000; PL; 20990000; PT; 4990000; QA; 18000000; RO; 22990000; RU; 339000000; SA; 18990000; SG; 4990000; SK; 4990000; SI; 4990000; ZA; 61990000; KR; 5900000000; ES; 4990000; LK; 775000000; SE; 49000000; CH; 4900000; TW; 160000000; TZ; 11000000000; TH; 175000000; TR; 18990000; UA; 139990000; AE; 18990000; GB; 4990000; US; 4990000; VN; 115000000000,
unlimitedlives,published,managed_by_android,false,en_US;3 Days of Unlimited Lives;Unlimited Lives for 3 days!,false,,4638193806219219763
piggybank1800,published,managed_by_android,false,en_US;Medium Piggy Bank;Medium Piggy Bank full of gold!,false,,4637211488907699073
linepack3,published,managed_by_android,false,en_US;10x Roller Pin Pack;10x Roller Pins with amazing discount!,false,,4638193806219219763
buyexp150,published,managed_by_android,false,en_US;150 lollipops;Huge lollipops pack - 150 lollipops,false,,4634828612604949627
gunshot10,published,managed_by_android,false,en_US; Magic Help pack of 6; Magically removes bunch of candies for you!; fr_FR; Aide magique pack de 6; Enlève magiquement un tas de bonbons pour toi!; ru_RU; Набор Магической помощи х6; Волшебно удаляет кучу сладостей на поле для вас!; de_DE; Magisches Hilfspaket von 6; Entfernt zauberhaft Bonbons für dich!; es_ES; Paquete de ayuda mágica de 6; Mágicamente quita un montón de caramelos para ti!; pt_PT; Pacote de Ajuda Mágica de 6; Mágicamente remove bando de doces para você!; it_IT; Magic Help pack di 6; Rimuove magicamente un sacco di caramelle per te!; nl_NL; Magic Help-pakket van 6; Magisch verwijdert pakjes snoep voor jou!; ar; ماجيك مساعدة حزمة من 6; يزيل سحرية حفنة من الحلوى لك!; ja_JP; マジックヘルプパック6; 魔法のようにあなたのためのキャンデーの束を削除します！; ko_KR; 마법 도움말 6 팩; 마술처럼 사탕을 당신을 위해 제거합니다!; tr_TR; 6 Magic Yardım Paketi; Sizin için sihirli şekerler demetini kaldırır!; zh_CN; 魔术帮助包6; 神奇地为你删除一堆糖果！; pt_BR; Pacote de Ajuda Mágica de 6; Mágicamente remove bando de doces para você!; es_419; Paquete de ayuda mágica de 6; Mágicamente quita un montón de caramelos para ti!,false,,4637211488907699073
25000gold,published,managed_by_android,false,"en_US;Gold treasure;Gold treasure - 25,000 gold!",false,,4634828612604949627
piggybank25000,published,managed_by_android,false,en_US;Huge Piggy Bank;Huge Piggy Bank full of gold!,false,,4634828612604949627
epicpack,published,managed_by_android,false,en_US;Champion Pack;Extraordinary blend of gold coins and fascinating boosters!,false,,4635087904918188529
piggybank500,published,managed_by_android,false,en_US;Small Piggy Bank;Small Piggy Bank full of gold!,false,,4638193806219219763
jampack,published,managed_by_android,false,en_US;Apprentice Pack;Lots of coins and boosters for fun playing!,false,,4638329326116172461
piggybank6000,published,managed_by_android,false,en_US;Large Piggy Bank;Large Piggy Bank full of gold!,false,,4634399711617211198
